1,2,3,4,5,6,7,8,9,10,11
855,85501,4440,"2 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85501,4560,"1 000,00","152,02","152,02","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
855,85501,4700,"5 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,138166,"16 599 399,00","4 790 897,89","4 653 121,37","9 519,58","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85502,2910,"24 800,00","5 794,24","5 794,24","0,00","0,00","0,00","0,00","0,00"
855,85502,3020,"600,00","199,33","199,33","0,00","0,00","0,00","0,00","0,00"
855,85502,3110,"6 624 983,00","1 774 682,61","1 774 682,61","0,00","0,00","0,00","0,00","0,00"
855,85502,4010,"150 038,00","150 038,00","43 220,23","3 773,08","0,00","0,00","0,00","0,00"
855,85502,4040,"13 000,00","12 771,59","8 899,25","3 872,34","0,00","0,00","0,00","0,00"
855,85502,4110,"288 700,00","288 700,00","78 247,14","33 616,03","0,00","0,00","0,00","0,00"
855,85502,4120,"4 000,00","4 000,00","365,07","164,59","0,00","0,00","0,00","0,00"
855,85502,4210,"3 000,00","293,92","293,92","0,00","0,00","0,00","0,00","0,00"
855,85502,4280,"100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85502,4300,"6 500,00","2 572,86","2 449,86","123,00","0,00","0,00","0,00","0,00"
855,85502,4440,"4 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85502,4560,"8 000,00","711,23","711,23","0,00","0,00","0,00","0,00","0,00"
855,85502,4610,"500,00","173,80","173,80","0,00","0,00","0,00","0,00","0,00"
855,85502,4700,"2 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,142777,"7 130 721,00","2 239 937,58","1 915 036,68","41 549,04","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85503,4210,"174,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,90568,"174,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85504,3020,"400,00","152,89","152,89","0,00","0,00","0,00","0,00","0,00"
855,85504,4010,"83 000,00","83 000,00","22 869,94","2 327,16","0,00","0,00","0,00","0,00"
855,85504,4040,"7 000,00","5 186,75","3 614,84","1 571,91","0,00","0,00","0,00","0,00"
855,85504,4110,"15 800,00","15 800,00","4 590,55","575,25","0,00","0,00","0,00","0,00"
855,85504,4120,"2 200,00","2 200,00","388,29","331,65","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
855,85504,4280,"100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85504,4300,"100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85504,4360,"100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85504,4410,"300,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85504,4440,"3 800,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85504,4700,"1 200,00","955,00","955,00","0,00","0,00","0,00","0,00","0,00"
"",,132149,"114 000,00","107 294,64","32 571,51","4 805,97","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85505,2540,"150 000,00","36 710,00","36 710,00","0,00","0,00","0,00","0,00","0,00"
"",,88900,"150 000,00","36 710,00","36 710,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85508,4330,"70 000,00","23 936,43","15 357,38","8 579,05","0,00","0,00","0,00","0,00"
"",,90693,"70 000,00","23 936,43","15 357,38","8 579,05","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85510,4330,"100 000,00","10 628,31","7 016,09","3 612,22","0,00","0,00","0,00","0,00"
"",,90695,"100 000,00","10 628,31","7 016,09","3 612,22","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
855,85595,3110,"4 000,00","4 000,00","4 000,00","0,00","0,00","0,00","0,00","0,00"
855,85595,4010,"103,00","103,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85595,4110,"18,00","18,00","0,00","0,00","0,00","0,00","0,00","0,00"
855,85595,4120,"2,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,101800,"4 123,00","4 123,00","4 000,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90001,4110,"500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90001,4270,"100 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90001,4300,"260 000,00","127 176,81","127 176,81","0,00","0,00","0,00","0,00","0,00"
900,90001,4390,"20 000,00","7 380,00","7 380,00","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
900,90001,4430,"5 000,00","1 976,40","1 976,40","0,00","0,00","0,00","0,00","0,00"
900,90001,6050,"1 138 000,00","369,00","369,00","0,00","0,00","0,00","0,00","0,00"
"",,118451,"1 523 500,00","136 902,21","136 902,21","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90002,4300,"3 560 000,00","1 154 460,03","887 970,03","266 490,00","0,00","0,00","0,00","0,00"
"",,95202,"3 560 000,00","1 154 460,03","887 970,03","266 490,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90003,4190,"8 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90003,4210,"7 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90003,4300,"2 620 134,00","779 313,10","697 015,19","80 461,91","0,00","0,00","0,00","0,00"
"",,103603,"2 635 134,00","779 313,10","697 015,19","80 461,91","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90004,4170,"6 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90004,4210,"4 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90004,4300,"988 000,00","24 221,86","24 221,86","0,00","0,00","0,00","0,00","0,00"
900,90004,4390,"5 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90004,6050,"35 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,114024,"1 038 000,00","24 221,86","24 221,86","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90005,4011,"25 080,00","13 680,00","3 145,18","274,82","0,00","0,00","0,00","0,00"
900,90005,4012,"16 720,00","9 120,00","2 049,77","230,23","0,00","0,00","0,00","0,00"
900,90005,4111,"4 312,00","2 351,52","391,92","195,96","0,00","0,00","0,00","0,00"
900,90005,4112,"2 875,00","1 567,80","261,30","130,65","0,00","0,00","0,00","0,00"
900,90005,4121,"616,00","335,16","55,86","27,93","0,00","0,00","0,00","0,00"
900,90005,4122,"411,00","223,44","37,24","18,62","0,00","0,00","0,00","0,00"
900,90005,4300,"50 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90005,4301,"8 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
900,90005,4302,"1 166,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90005,4411,"1 000,00","102,00","102,00","0,00","0,00","0,00","0,00","0,00"
900,90005,4421,"4 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90005,4701,"2 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90005,4952,"500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,146782,"116 680,00","27 379,92","6 043,27","878,21","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90015,4210,"40 000,00","30 318,02","30 318,02","0,00","0,00","0,00","0,00","0,00"
900,90015,4260,"1 270 000,00","356 932,70","261 963,21","94 969,49","0,00","0,00","0,00","0,00"
900,90015,4270,"30 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90015,4300,"450 000,00","203 280,33","113 502,63","0,00","0,00","0,00","0,00","0,00"
900,90015,4580,"100,00","0,55","0,55","0,00","0,00","0,00","0,00","0,00"
900,90015,6050,"726 000,00","14,00","14,00","0,00","0,00","0,00","0,00","0,00"
"",,118585,"2 516 100,00","590 545,60","405 798,41","94 969,49","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
900,90095,3020,"20 000,00","439,81","372,51","67,30","0,00","0,00","0,00","0,00"
900,90095,4018,"12 788,37","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90095,4019,"3 928,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90095,4118,"5 519,42","3 529,09","0,00","1 176,37","0,00","0,00","0,00","0,00"
900,90095,4119,"1 695,50","1 084,10","0,00","361,36","0,00","0,00","0,00","0,00"
900,90095,4128,"786,66","502,97","0,00","167,65","0,00","0,00","0,00","0,00"
900,90095,4129,"241,65","154,51","0,00","51,51","0,00","0,00","0,00","0,00"
900,90095,4170,"1 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
900,90095,4178,"20 529,92","20 529,92","5 450,49","1 392,82","0,00","0,00","0,00","0,00"
900,90095,4179,"6 306,58","6 306,58","1 674,33","427,86","0,00","0,00","0,00","0,00"
900,90095,4210,"41 000,00","1 238,23","1 089,44","148,79","0,00","0,00","0,00","0,00"
900,90095,4220,"5 000,00","738,72","493,70","245,02","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
900,90095,4260,"10 000,00","909,47","909,47","0,00","0,00","0,00","0,00","0,00"
900,90095,4300,"312 740,61","165 237,10","113 413,23","0,00","0,00","0,00","0,00","0,00"
900,90095,4308,"11 829,08","2 415,99","2 415,99","0,00","0,00","0,00","0,00","0,00"
900,90095,4309,"3 633,76","742,17","742,17","0,00","0,00","0,00","0,00","0,00"
900,90095,4430,"55 000,00","45 211,00","45 211,00","0,00","0,00","0,00","0,00","0,00"
900,90095,6050,"857 000,00","429 988,40","17 323,40","0,00","0,00","0,00","0,00","0,00"
"",,167160,"1 369 000,00","679 028,06","189 095,73","4 038,68","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
921,92105,2820,"80 000,00","19 500,00","1 700,00","0,00","0,00","0,00","0,00","0,00"
921,92105,4170,"10 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
921,92105,4210,"1 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
921,92105,4300,"10 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,108526,"101 500,00","19 500,00","1 700,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
921,92109,2480,"1 400 000,00","1 400 000,00","350 000,00","0,00","0,00","0,00","0,00","0,00"
"",,95510,"1 400 000,00","1 400 000,00","350 000,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
921,92116,2480,"1 870 000,00","1 870 000,00","440 000,00","0,00","0,00","0,00","0,00","0,00"
"",,95517,"1 870 000,00","1 870 000,00","440 000,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
921,92118,2480,"985 000,00","985 000,00","240 000,00","0,00","0,00","0,00","0,00","0,00"
921,92118,6220,"150 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,101739,"1 135 000,00","985 000,00","240 000,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
921,92120,4270,"10 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
921,92120,4300,"15 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
921,92120,6050,"90 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
921,92120,6570,"15 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,114231,"130 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
926,92601,3020,"2 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
926,92601,4010,"1 936 289,00","1 558 883,67","372 551,28","38 878,74","0,00","0,00","0,00","0,00"
926,92601,4040,"140 273,00","135 265,33","94 342,68","40 924,65","0,00","0,00","0,00","0,00"
926,92601,4110,"353 913,00","291 315,41","46 504,03","46 248,22","0,00","0,00","0,00","0,00"
926,92601,4120,"49 417,00","34 050,38","5 564,63","5 563,24","0,00","0,00","0,00","0,00"
926,92601,4170,"380 000,00","167 356,69","60 094,28","6 491,68","0,00","0,00","0,00","0,00"
926,92601,4190,"1 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
926,92601,4210,"135 392,00","53 803,31","46 390,94","7 412,37","0,00","0,00","0,00","0,00"
926,92601,4260,"970 000,00","350 194,43","198 683,12","21 621,10","0,00","0,00","0,00","0,00"
926,92601,4270,"7 500,00","2 653,00","1 353,00","1 300,00","0,00","0,00","0,00","0,00"
926,92601,4280,"3 050,00","262,00","262,00","0,00","0,00","0,00","0,00","0,00"
926,92601,4300,"330 816,00","190 009,39","69 934,27","6 219,29","0,00","0,00","0,00","0,00"
926,92601,4360,"13 200,00","7 798,59","2 432,16","0,00","0,00","0,00","0,00","0,00"
926,92601,4390,"25 000,00","5 132,48","4 821,29","311,19","0,00","0,00","0,00","0,00"
926,92601,4410,"13 500,00","9 339,37","2 361,85","207,00","0,00","0,00","0,00","0,00"
926,92601,4430,"58 000,00","11 589,65","9 582,39","2 007,26","0,00","0,00","0,00","0,00"
926,92601,4440,"47 150,00","31 600,00","3 000,00","0,00","0,00","0,00","0,00","0,00"
926,92601,4530,"1 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
926,92601,4700,"5 500,00","3 089,00","1 789,00","1 300,00","0,00","0,00","0,00","0,00"
"",,173767,"4 473 000,00","2 852 342,70","919 666,92","178 484,74","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
926,92605,2820,"365 000,00","338 200,00","107 200,00","202 500,00","0,00","0,00","0,00","0,00"
926,92605,4300,"50 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
"",,100651,"415 000,00","338 200,00","107 200,00","202 500,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
926,92695,6050,"831 580,00","420 973,15","676,50","0,00","0,00","0,00","0,00","0,00"
"",,99671,"831 580,00","420 973,15","676,50","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
"MINISTERSTWO FINANSÓW, ul. Świętokrzyska 12, 00-916 Warszawa",,,,,,,,,,,,,,,,,,,,,,,,
"Nazwa i adres jednostki sprawozdawczejUrząd Miastaul.Kazimierza Wielkiego 232-700  BOCHNIA","Rb-28Ssprawozdanie z wykonania planu wydatków budżetowychzbiorczookres sprawozdawczyod początku roku do dnia 31 marca roku 2017","Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",,,,,,,,,,,,,,,,,,,,,,
"Numer identyfikacyjny REGON851661033",,,,,,,,,,,,,,,,,,,,,,,,
"Nazwa województwamałopolskie1)Nazwa powiatu / związkubocheńskiNazwa gminy / związku 1)BOCHNIA",SYMBOLE,Przed wypełnieniem przeczytać instrukcję,,,,,,,,,,,,,,,,,,,,,,
WOJ.,POWIAT,GMINA,TYP GM.,ZWIĄZEK JST,TYP ZW.,,,,,,,,,,,,,,,,,,,
12,01,01,1,,,,,,,,,,,,,,,,,,,,,
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101"
""
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",,,,,,,
"",,,,,,,
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101"
""
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",
"",
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",
"",
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101"
""
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",
"",
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",
"",
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",,
"",,
"Adresat:Regionalna Izba Obrachunkowa wKrakowie4EC2150156D6F101",
"",
Klasyfikacja budżetowa,,,,Zobowiązania wg stanu na koniec okresu spraw.,"Wydatki,zrealizowane wramach funduszusołeckiego 2)","Wydatki, które niewygasły z upływem2)roku budżetowego(art.263 ust. 2ustawy o finansachpublicznych)",,,,
dział,rozdział,paragraf,"Plan(po zmianach)",Zaangażowanie,"Wydatkiwykonane","w tym wymagalne:ogółempowstałe wpowstałe w rokulatach ubiegłychbieżącym",,,,
"",,,,,,,"powstałe wlatach ubiegłych","powstałe w rokubieżącym",,
1,2,3,4,5,6,7,8,9,10,11
Razem dział,010,"6 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,600,"14 713 676,00","7 795 983,72","691 839,25","37,50","0,00","0,00","0,00","0,00",
Razem dział,630,"50 000,00","12 300,00","12 300,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,700,"5 510 100,00","2 025 812,19","1 236 824,35","34 702,46","0,00","0,00","0,00","0,00",
Razem dział,710,"481 000,00","177 674,98","60 352,34","7 375,00","0,00","0,00","0,00","0,00",
Razem dział,750,"11 076 747,00","8 426 159,56","2 655 795,72","484 820,46","0,00","0,00","0,00","0,00",
Razem dział,751,"5 900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,752,"920,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,754,"1 673 950,00","1 160 933,97","331 312,70","70 921,45","0,00","0,00","0,00","0,00",
"w tym wymagalne:ogółempowstałe wpowstałe w rokulatach ubiegłychbieżącym",
"powstałe wlatach ubiegłych","powstałe w rokubieżącym"
1,2,3,4,5,6,7,8,9,10,11
Razem dział,757,"1 500 000,00","222 444,95","222 444,95","0,00","0,00","0,00","0,00","0,00",
Razem dział,758,"591 036,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,801,"35 548 602,00","28 648 041,32","8 988 225,99","1 696 440,39","0,00","0,00","0,00","0,00",
Razem dział,851,"1 053 745,00","715 201,19","210 375,87","37 909,02","0,00","0,00","0,00","0,00",
Razem dział,852,"5 687 415,86","3 300 407,49","1 352 599,63","142 563,46","0,00","0,00","0,00","0,00",
Razem dział,853,"19 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,854,"2 272 640,00","1 920 989,55","590 558,68","124 764,93","0,00","0,00","0,00","0,00",
Razem dział,855,"24 168 417,20","7 213 527,85","6 663 813,03","68 065,86","0,00","0,00","0,00","0,00",
Razem dział,900,"12 758 414,00","3 391 850,78","2 347 046,70","446 838,29","0,00","0,00","0,00","0,00",
Razem dział,921,"4 636 500,00","4 274 500,00","1 031 700,00","0,00","0,00","0,00","0,00","0,00",
Razem dział,926,"5 719 580,00","3 611 515,85","1 027 543,42","380 984,74","0,00","0,00","0,00","0,00",
RAZEM,"127 473 643,06","72 897 343,40","27 422 732,63","3 495 423,56","0,00","0,00","0,00","0,00",,
Wyjaśnienia do sprawozdania Rb-28S
